Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
New Haven D3,9/21/2025,5:15:00 PM,9/21/2025,6:45:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
Rutgers D3,9/28/2025,5:15:00 PM,9/28/2025,6:45:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
@Stony Brook D2,10/4/2025,9:15:00 PM,10/4/2025,10:45:00 PM,FALSE,,"The Rinx, 660 Terry Rd, Hauppauge, NY 11788"
Farmingdale D2,10/5/2025,5:15:00 PM,10/5/2025,6:45:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
@STAC (ACHA),10/10/2025,8:30:00 PM,10/10/2025,10:00:00 PM,FALSE,,"Sport-o-Rama Ice Rinks, 20 College Rd, Monsey, NY 10952"
Columbia D2,10/12/2025,5:15:00 PM,10/12/2025,6:45:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
PSU-Harrisburg D2,10/17/2025,8:55:00 PM,10/17/2025,10:25:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
Stony Brook D2,10/26/2025,5:15:00 PM,10/26/2025,6:45:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
STAC (ACHA),11/2/2025,5:15:00 PM,11/2/2025,6:45:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
@New Haven D3,11/7/2025,8:45:00 PM,11/7/2025,10:15:00 PM,FALSE,,"Northford Ice Pavilion, 24 Fire-Lite Pl, Northford, CT 06472"
Kutztown D2,11/8/2025,8:40:00 PM,11/8/2025,10:10:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
@Columbia D2,11/14/2025,9:30:00 PM,11/14/2025,11:00:00 PM,FALSE,,"World Ice Arena, 131-04 Meridian Rd, Flushing, NY 11368"
EAST COAST SHOWDOWN,11/21/2025,,11/23/2025,,TRUE,,"IceWorks Skating Complex, 3100 Dutton Mill Rd, Aston, PA 19014"
@Fairfield D3,12/5/2025,9:30:00 PM,12/5/2025,11:00:00 PM,FALSE,,"The Rinks at the Sports Center, Shelton, CT 06484"
@Sacred Heart (ACHA),12/6/2025,8:45:00 PM,12/6/2025,10:15:00 PM,FALSE,,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
Fairfield D3,1/24/2026,8:40:00 PM,1/24/2026,10:10:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
@Rutgers D3,1/25/2026,5:15:00 PM,1/25/2026,6:45:00 PM,FALSE,,"ProSkate Ice Arena, 1000 Cornwall Rd, Monmouth Junction, NJ 08852"
@Kutztown D2,1/31/2026,7:30:00 PM,1/31/2026,9:30:00 PM,FALSE,,"The Campus, 4533 Lincoln Hwy, Downingtown, PA 19335"
@PSU-Harrisburg D2,2/1/2026,12:30:00 PM,2/1/2026,2:00:00 PM,FALSE,,"Twin Ponds Arena, 3904 Corey Rd, Harrisburg, PA 17109"
@Farmingdale D2,2/7/2026,9:30:00 PM,2/7/2026,11:00:00 PM,FALSE,,"Ice Works, 175 Underhill Blvd, Syosset, NY 11791"
Sacred Heart D2,2/13/2026,8:45:00 PM,2/13/2026,10:15:00 PM,FALSE,,"Ice Hutch, 655 Garden Ave, Mt Vernon, NY 10550"
@Sacred Heart D2,2/15/2026,8:15:00 PM,2/15/2026,10:15:00 PM,FALSE,,"Martire Family Arena, 3135 Easton Turnpike, Fairfield, CT 06825"
EMPIRE PLAYOFFS,2/20/2026,,2/22/2026,,TRUE,,"The Rinks at the Sports Center, Shelton, CT 06484"
